icao,name,city,country,lat,lon,elev_m,type,iata
LHSM,Hévíz–Balaton Airport,Sármellék,HU,46.68639,17.15908,124,M,SOB
EIDL,Donegal Airport,Donegal,IE,55.0442,-8.341,9,M,CFN
EIKY,Kerry Airport,Farranfore,IE,52.1809,-9.52378,34,M,KIR
LIEA,Alghero-Fertilia Airport,Alghero,IT,40.6321,8.29077,27,M,AHO
LIPB,Bolzano Airport,Bolzano (BZ),IT,46.45925,11.32612,240,M,BZO
LIPO,Brescia Gabriele d'Annunzio Airport,Montichiari (BS),IT,45.4289,10.3306,108,M,VBS
LICB,Comiso Airport,Comiso,IT,36.99583,14.60889,230,M,CIY
LIBC,Crotone Sant'Anna Pythagoras Airport,Isola di Capo Rizzuto (KR),IT,38.9972,17.0802,159,M,CRV
LIMZ,Cuneo International Airport,Levaldigi (CN),IT,44.54746,7.62305,386,M,CUF
LIBF,Foggia Gino Lisa Airport,Foggia (FG),IT,41.4336,15.53457,81,M,FOG
LIPK,Forlì-Luigi Ridolfi International Airport,Forlì (FC),IT,44.1948,12.0701,30,M,FRL
LICD,Lampedusa Airport,Lampedusa,IT,35.4979,12.6181,21,M,LMP
LIPY,Marche Airport,Falconara Marittima (AN),IT,43.6163,13.3623,15,M,AOI
LIRJ,Marina di Campo Airport,Campo nell'Elba (LI),IT,42.76087,10.23981,9,M,EBA
LICG,Pantelleria Airport,Pantelleria (TP),IT,36.8165,11.9689,191,M,PNL
LIMP,Parma Airport,Parma (PR),IT,44.82635,10.29705,49,M,PMF
LICR,Reggio Calabria Airport,Reggio Calabria,IT,38.0712,15.6516,29,M,REG
LIRI,Salerno Costa d'Amalfi Airport,Salerno,IT,40.6204,14.9113,37,M,QSR
LIDT,Trento-Mattarello Airport,Trento (TN),IT,46.02333,11.125,186,M,
LICT,Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),IT,37.9114,12.488,8,M,TPS
EPBY,Ignacy Jan Paderewski Bydgoszcz Airport,Bydgoszcz,PL,53.0968,17.9777,72,M,BZG
EPSY,Olsztyn-Mazury Airport,Szymany,PL,53.4819,20.9377,141,M,SZY
EPRA,Warsaw Radom Airport,Radom,PL,51.38937,21.21474,186,M,RDO
EPZG,Zielona Góra-Babimost Airport,Nowe Kramsko,PL,52.1385,15.7986,59,M,IEG
LPVZ,Aerodromo Goncalves Lobato (Viseu Airport),Viseu,PT,40.7255,-7.88899,628,M,VSE
LPBG,Bragança Airport,Bragança,PT,41.8578,-6.70713,683,M,BGC
LPCS,Cascais Airport,Cascais,PT,38.725,-9.35523,99,M,CAT
LPFL,Flores Airport,Santa Cruz das Flores,PT,39.4553,-31.1314,34,M,FLW
LPGR,Graciosa Airport,Santa Cruz da Graciosa,PT,39.0922,-28.0298,26,M,GRW
LPHR,Horta Airport,Horta,PT,38.5199,-28.7159,36,M,HOR
LPLA,Lajes Airport,Praia da Vitória,PT,38.7618,-27.0908,55,M,TER
LPPI,Pico Airport,Pico Island,PT,38.5543,-28.4413,33,M,PIX
LPPM,Portimão Airport,Portimão,PT,37.1493,-8.58396,2,M,PRM
LPPS,Porto Santo Airport,Vila Baleira,PT,33.0734,-16.35,104,M,PXO
LPAZ,Santa Maria Airport,Vila do Porto,PT,36.9714,-25.1706,94,M,SMA
LPSJ,São Jorge Airport,Velas,PT,38.6655,-28.1758,95,M,SJZ
LPVR,Vila Real Airport,Vila Real,PT,41.2743,-7.72047,550,M,VRL
LRAR,Arad International Airport,Arad,RO,46.17614,21.26432,107,M,ARW
LRBM,Maramureș International Airport,Tăuții-Măgherăuș,RO,47.65844,23.46445,184,M,BAY
LRSM,Satu Mare International Airport,Satu Mare,RO,47.7033,22.8857,123,M,SUJ
LRTM,Târgu Mureş Transilvania International Airport,Recea,RO,46.4677,24.4125,294,M,TGM
ESNX,Arvidsjaur Airport,Arvidsjaur,SE,65.5903,19.2819,379,M,AJR
ESSD,Dala Airport,Borlange,SE,60.422,15.5152,153,M,BLE
ESNG,Gällivare Airport,Gällivare,SE,67.1324,20.8146,313,M,GEV
ESMT,Halmstad Airport,Halmstad,SE,56.6911,12.8202,31,M,HAD
ESGJ,Jönköping Airport,Jönköping,SE,57.7576,14.0687,226,M,JKG
ESMQ,Kalmar Airport,Kalmar,SE,56.6855,16.2876,5,M,KLR
ESOK,Karlstad Airport,Karlstad,SE,59.4447,13.3374,107,M,KSD
ESNK,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,63.0486,17.7689,10,M,KRF
ESNL,Lycksele Airport,Lycksele,SE,64.5483,18.7162,215,M,LYC
ESKM,Mora Airport,Mora,SE,60.9579,14.5114,193,M,MXX
ESSP,Norrköping Airport,Norrköping,SE,58.5863,16.2506,10,M,NRK
ESDF,Ronneby Airport,Ronneby,SE,56.2667,15.265,58,M,RNB
ESNS,Skellefteå Airport,Skellefteå,SE,64.6248,21.0769,48,M,SFT
ESSB,Stockholm-Bromma Airport,Stockholm,SE,59.3544,17.9417,14,M,BMA
ESNN,Sundsvall-Härnösand Airport,Sundsvall/ Härnösand,SE,62.5281,17.4439,5,M,SDL
ESST,Torsby Airport,Torsby,SE,60.1576,12.9913,120,M,TYF
ESGT,Trollhättan-Vänersborg Airport,Trollhättan,SE,58.3181,12.345,42,M,THN
ESNV,Vilhelmina South Lapland Airport,Vilhelmina,SE,64.5791,16.8336,347,M,VHM
ESMX,Växjö Kronoberg Airport,Växjö,SE,56.9291,14.728,186,M,VXO
ESTA,Ängelholm-Helsingborg Airport,Ängelholm,SE,56.2961,12.8471,21,M,AGH
ESNZ,Åre Östersund Airport,Östersund,SE,63.19355,14.50417,376,M,OSD
ESOE,Örebro Airport,Örebro,SE,59.2237,15.038,57,M,ORB
ESNO,Örnsköldsvik Airport,Örnsköldsvik,SE,63.4083,18.99,108,M,OER
LJMB,Maribor Edvard Rusjan Airport,Maribor,SI,46.4799,15.6861,267,M,MBX
LZKZ,Košice International Airport,Košice,SK,48.6631,21.2411,230,M,KSC
LZTT,Poprad-Tatry Airport,Poprad,SK,49.07099,20.24139,718,M,TAT
LZSL,Sliač Airport,Sliač,SK,48.6378,19.1341,318,M,SLD
